,customer_unique_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_risk_score,churn_risk
10564,25cac425f64ae1b78c60c2afae3ec384,104,2,108.75,2,1,1,4,High
10598,25f24493ded5ebebc26a69b5db344e35,64,2,179.98,3,1,2,6,Medium
10602,25f3cf83109f636d52d288fa4e797111,64,3,78.0,3,3,1,7,Medium
10811,26ca20ff263502c115769540069e351f,189,2,99.0,2,1,1,4,High
10821,26d1b63e9b8478f84f87188c4877049e,265,2,555.8,1,1,3,5,High
10868,26f06401a5374fd3d26b6eed06af675f,53,2,221.9,3,1,2,6,Medium
10902,2708339a3f5355f56983737d54fbce59,106,2,189.46,2,1,2,5,High
10927,271d3cdd872021b1b6669ad93e8b856b,76,2,348.64,3,1,3,7,Medium
10936,27259fad9054fce994a70f1d117bc402,157,2,256.3,2,1,3,6,Medium
10984,27517ed34c0406fe07b3a806e33cbc10,195,2,144.9,2,1,2,5,High
11003,2767f1bba0529fe3f48378c05ea40f0f,25,2,169.8,3,1,2,6,Medium
11118,27d59fe7ff2ed894f826fd4a7e5466ea,53,2,69.8,3,1,1,5,High
11140,27e86d2ae0db33b8d242c9251067d97e,290,2,85.89,1,1,1,3,High
11183,280c34dc057ff9f3cd17360673d4b87c,104,2,115.7,2,1,1,4,High
11203,281e1e72207e518c29b249a1361a775d,277,2,392.89,1,1,3,5,High
11223,282dc4abbf2759fb9bb77217f5cd6c4c,146,2,249.89000000000001,2,1,2,5,High
11246,2844216d0982f6ced6f8cb8c2ede4136,300,2,10.9,1,1,1,3,High
11292,286d8f01f94a8061cef05c7c49efd8a9,99,2,98.99000000000001,2,1,1,4,High
11303,2878289928927b75d078057c8d91405f,112,2,299.8,2,1,3,6,Medium
11344,28989ef45087c96e5a4346e88216c2ba,464,2,589.6,1,1,3,5,High
11349,289dcfbdf9ce2f94565a76800eb71157,165,2,204.5,2,1,2,5,High
11364,28ad66c8baf13c85d2a936d0b06e73f6,126,2,125.4,2,1,1,4,High
11371,28b506334071b7dfadd7bd023d9115c4,76,2,388.0,3,1,3,7,Medium
11384,28c7e3fb75d7ce1e496dc539443b71da,276,2,259.97,1,1,3,5,High
11392,28cfa4471fab15695744e57ce3036694,92,2,129.8,2,1,2,5,High
11402,28da99e178f274876e3052c1740c6c87,242,2,36.8,1,1,1,3,High
11406,28dd1607a5e16ed5458919c2afca6476,66,2,119.8,3,1,1,5,High
11508,2947c03745112e23dced5a2ab3f8c568,56,2,103.6,3,1,1,5,High
11516,294e0922aa06792eea5094656727c0bd,345,2,339.89,1,1,3,5,High
11561,297ec5afd18366f5ba27520cc4954151,12,2,392.45,3,1,3,7,Medium
11582,298c3e1a698283a45f1c94df3942bb3b,33,2,114.99,3,1,1,5,High
11618,29ae9e23943929ef3f3951a883462955,10,2,129.0,3,1,2,6,Medium
11675,29dc4aeff866d6a940c471a3ea4faef0,363,2,59.9,1,1,1,3,High
11706,29f8e372b3b1d42ad2e00a0b976bfc34,0,2,441.35,3,1,3,7,Medium
11778,2a34af7c4b1b83d78b14cf6b9c32c3b9,36,2,204.9,3,1,2,6,Medium
11795,2a3d4df1de5c9feee497328298916d41,123,2,204.8,2,1,2,5,High
11797,2a3f4536e732a04cfad59b6e50c2e925,170,2,79.8,2,1,1,4,High
11820,2a532e879c1278727d9d7001890cd333,96,2,174.39,2,1,2,5,High
11930,2aba7239448982a76a0a79666419e3a3,100,2,151.8,2,1,2,5,High
11938,2ac4312997e09e6770fd4c3d52adf77a,112,2,115.79,2,1,1,4,High
11941,2ac6f6d09c75bb721defa2eb7a4f52a1,181,2,43.8,2,1,1,4,High
11983,2ae3c67452283d5a0d30b32e0d33296e,92,2,70.0,2,1,1,4,High
11987,2ae6a57dcdd2f1424598fc480cbf698a,71,2,385.7,3,1,3,7,Medium
12021,2b100d3737ff053e5003640064ee6ad8,187,2,78.89,2,1,1,4,High
12028,2b161eaf4956b131691842e87b3c39c7,48,3,195.04000000000002,3,3,2,8,Low
12030,2b174670dbec666bbc68b6e2a4062740,294,2,297.84000000000003,1,1,3,5,High
12032,2b19910e856b2ba3e7257e63a093a3df,216,2,184.0,1,1,2,4,High
12091,2b4871f788b44ee004ec2c7fc7cd420b,181,2,255.85000000000002,2,1,3,6,Medium
12101,2b4efa2bb0d9e62ee5e197cacd93c0d6,92,2,354.97,2,1,3,6,Medium
12121,2b5c14b7e1a3d88ff7e0c46e15851f5f,287,2,74.98,1,1,1,3,High
12127,2b5ffb4c42d26e466ad575ecce365aa2,17,2,115.9,3,1,1,5,High
12140,2b6ce149982204423f4efac29701255a,113,2,591.0,2,1,3,6,Medium
12147,2b775b75afa0be08220fb73a7e68df3b,182,2,93.99000000000001,2,1,1,4,High
12181,2b952792a20f6076f6e7a9c6a27ade02,156,2,96.88000000000001,2,1,1,4,High
12254,2bd9d2f3cc5d99b1b3d9ff5acd81bd5e,175,2,71.9,2,1,1,4,High
12310,2c14db46aee6245ff5a01f7f69544f73,28,2,269.8,3,1,3,7,Medium
12348,2c3ed77b92cba1f5622b5ccaa1792b8b,93,2,354.9,2,1,3,6,Medium
12388,2c6a91479a7dc00d8c9d650d8dee88ca,104,2,368.9,2,1,3,6,Medium
12441,2c961ee955abb3ac9a80babd54ed4156,93,2,130.9,2,1,2,5,High
12458,2ca8ef8560c5cd0f9ddb65d1b1b51380,142,2,148.89,2,1,2,5,High
12499,2ccc5d0620e07e3b54b83848c31a08fa,45,2,148.0,3,1,2,6,Medium
12547,2cf396c9e24e7627ff042cccb209b9e6,224,2,379.98,1,1,3,5,High
12574,2d0aa39055b967248bf551e220b55f59,63,2,31.24,3,1,1,5,High
12698,2d7a88002fb4c6073fbef4f59707a0e0,466,2,229.8,1,1,2,4,High
12701,2d7c6bd64b139f0f40968dd19c629532,272,2,191.39,1,1,2,4,High
12755,2dacd79aa5d1a86240b37b6c588de551,61,2,300.0,3,1,3,7,Medium
12786,2dc7f51f05ba1b1a92608e45e55d1fe1,130,2,86.48,2,1,1,4,High
12788,2dcbfb99d95c7ba6eb992a98627f45b8,148,2,225.88,2,1,2,5,High
12803,2dd7f52683f631651a5d94056935e1e1,77,2,149.9,3,1,2,6,Medium
12808,2ddc001b620bd90d0f4378cfde1db887,26,4,422.35,3,3,3,9,Low
12809,2ddd50b61ee4a82b40033feecac1f863,196,2,196.95,2,1,2,5,High
12866,2e08911037fe7ec67377711eee1fdbf3,60,2,310.2,3,1,3,7,Medium
12868,2e0a2166aa23da2472c6a60c4af6f7a6,183,2,272.70000000000005,2,1,3,6,Medium
12911,2e366b0c6451864364bab2e7917ca1bb,334,2,98.0,1,1,1,3,High
12925,2e43e031f10de28e557c35ef668f9396,459,3,269.22,1,3,3,7,Medium
12992,2e7c511f54e9d94776c606007d672a22,20,2,599.7,3,1,3,7,Medium
13015,2e9399fc2fe209771a6f719e14bdb6fe,156,2,127.6,2,1,1,4,High
13152,2f1ae2ed6bbc4661d04c271560570c54,30,2,84.89,3,1,1,5,High
13208,2f41863e0922b8d1fbb756691b5c315b,389,2,245.76000000000002,1,1,2,4,High
13252,2f679a526d3b619beccc26a3d1435de4,148,2,127.89000000000001,2,1,1,4,High
13273,2f7c8c8386941ce0ef458ca7ff304123,254,2,189.8,1,1,2,4,High
13284,2f87ccd8d2d676d667a844ee5c6a17bd,103,2,362.0,2,1,3,6,Medium
13316,2fa63db193ecb500d4058cae36026f8f,7,2,278.8,3,1,3,7,Medium
13337,2fb6dae4fb3a2f917940978144362cd2,15,2,150.98,3,1,2,6,Medium
13353,2fc5e667ccf2a1c87a798be23f1c920a,177,2,358.99,2,1,3,6,Medium
13387,2fe074ea3cc24b8fd57d29effc995f8b,150,2,979.89,2,1,3,6,Medium
13404,2ff1b818fb048c44dc6629f013cceae6,269,2,237.8,1,1,2,4,High
13449,301a6d74a3eb7cd8e3508a045b8fa2e1,250,2,554.0,1,1,3,5,High
13609,30a81e307f19e822e7199139fe52b1b0,45,3,82.88,3,3,1,7,Medium
13645,30d2d6693d77801c2bcdfafbba202462,49,2,144.21,3,1,2,6,Medium
13707,310647380793836bfa5b7b6b3f518423,194,3,262.88,2,3,3,8,Low
13716,3110339155d740dc64b31e1666952100,327,2,95.9,1,1,1,3,High
13778,314259ece6a9207c6fc02d925fc996b9,41,2,167.9,3,1,2,6,Medium
13818,3170ebd8b32a5e2102c9d75e0a7f6d74,248,2,252.7,1,1,2,4,High
13838,317f563ca3576550955f39a346b15be5,69,2,293.70000000000005,3,1,3,7,Medium
13853,318b8659483e12e9cbe1e6550d97f9d9,425,2,599.8,1,1,3,5,High
13869,319aed7fd576c317a96b55a991befb3e,37,2,49.98,3,1,1,5,High
13884,31aa2034dc4b34b06487e22a53b4a07a,213,2,308.0,1,1,3,5,High
13909,31bfa97f1ea0663a50ebc5c811ebdf4d,179,2,883.99,2,1,3,6,Medium
13931,31d332d20895c5c0baefe55207a0fead,11,2,116.4,3,1,1,5,High
13936,31d4b05ef830a7347b8f43640eb6511e,432,2,284.8,1,1,3,5,High
13943,31d958dffbf0b744375b5ff0393e6fb3,222,2,187.9,1,1,2,4,High
13952,31e0eb64c5eb715aab04433200ea4ed5,222,2,179.98,1,1,2,4,High
13955,31e2e13cc64f2a3bd9dbde22bbad06b2,95,2,212.0,2,1,2,5,High
13971,31f49e069c399db9c3a0bdf8653e4e8f,234,2,468.9,1,1,3,5,High
13996,320e13a9e22b4e4cda8c17ed1c140ce0,146,3,71.69999999999999,2,3,1,6,Medium
14021,322740034480eb5fe9d14398aee49d4b,26,2,479.79999999999995,3,1,3,7,Medium
14041,323f8f14acb90e50f86f1885b6b53c6d,455,2,243.79000000000002,1,1,2,4,High
14059,32539c368b3b9fa70283a7bce0f23909,68,2,57.98,3,1,1,5,High
14076,325e19085f3017b73be3d9fd98a93301,454,2,98.0,1,1,1,3,High
14184,32c3312cd5a2dddfdcbd359694cd7ae8,128,2,224.89,2,1,2,5,High
14194,32cbbf7b9770feb67a514300686f5485,81,2,154.89,3,1,2,6,Medium
14217,32e93651fbc6d641cffdc40c50d982a3,399,2,269.79,1,1,3,5,High
14218,32ea3bdedab835c3aa6cb68ce66565ef,215,2,78.9,1,1,1,3,High
14273,33176de67c05eeed870fd49f234387a0,67,2,821.5,3,1,3,7,Medium
14327,334293c291f43a6aa85020f8597a171f,206,2,247.65000000000003,2,1,2,5,High
14352,335be0ca4b7aa8578e364a76efd4da52,315,2,259.0,1,1,3,5,High
14363,336421b86cc4259a58106da261e0e000,356,2,393.2,1,1,3,5,High
14427,339c527109c4c03e8e09bd4b593dab5f,215,2,359.94,1,1,3,5,High
14442,33aa371b7512b6a9fede4f231e212226,226,2,257.0,1,1,3,5,High
14448,33aca86429de0f71ff7118b93bb09712,140,2,178.0,2,1,2,5,High
14451,33b141e373b4f251b033f9ed33d6974d,0,2,182.4,3,1,2,6,Medium
14453,33b239671c1c878914ed922a0dacd607,328,2,83.98,1,1,1,3,High
14544,340d924858c395848c127b3e772b6bfd,60,2,212.87,3,1,2,6,Medium
14608,3442a61b2d5bfd9d605d6943701ad650,35,2,1088.72,3,1,3,7,Medium
14610,3443f8095ad309eebbdc8caa8b2bf936,321,2,143.9,1,1,2,4,High
14634,345817899c325d8b41c9e88011a8ab43,47,2,90.8,3,1,1,5,High
14650,346534c8088852932d947f4b8fea3959,278,2,464.89,1,1,3,5,High
14661,346fce1712054d4339be023a27c38f13,63,2,92.3,3,1,1,5,High
14802,34fbeb535f3ba8b34bb0f919b0ad36bb,71,2,64.98,3,1,1,5,High
14810,3504bea0c72ad9e945b63f889702d2d4,132,2,131.9,2,1,2,5,High
14881,354004e1432bff6f9008ce0a5afd732a,232,2,226.20000000000002,1,1,2,4,High
14908,355ae139c8a163fb77c065a2d1403ed9,356,2,279.8,1,1,3,5,High
14945,3578707d5fbfaaad05a3862a179bf76d,91,2,178.79,2,1,2,5,High
14956,35825208c1a9b2d7cccd2eee08d8cbc6,65,2,73.98,3,1,1,5,High
14981,359bacb2b5c52b4287667a7bc6c7bc63,350,2,531.0,1,1,3,5,High
15067,35de25c73544f00e8adde226a4d1bdcc,211,2,314.8,1,1,3,5,High
15072,35e146c985a9cf989c91edb4c0c156fa,470,2,299.8,1,1,3,5,High
15081,35e9d2caa31b87cc3d1ad10d72271140,293,2,69.99000000000001,1,1,1,3,High
15084,35ecdf6858edc6427223b64804cf028e,30,5,393.86,3,3,3,9,Low
15148,362928c8cd61df2e6951751dffb4be85,188,2,439.6,2,1,3,6,Medium
15171,36445bb429c8bb13c3f8cd6794723647,349,2,125.98,1,1,1,3,High
15176,3648f9e5f51f679ed24deff1f031a093,144,2,194.99,2,1,2,5,High
15199,3660e33bc132658a08c234cc82e6d0cc,111,2,585.31,2,1,3,6,Medium
15229,367f4686d7112d69feed92b02a1775ed,346,2,130.0,1,1,2,4,High
15298,36be413fe0f4a74eee7b764e758730ed,150,2,179.8,2,1,2,5,High
15377,370cd3b09ea745fe047fd11db7430441,154,2,129.89000000000001,2,1,2,5,High
15411,3724bfc68569cc4df876284536b8add9,245,2,549.8,1,1,3,5,High
15465,37545efd489b0b7c9aa20690f344271d,224,2,760.0,1,1,3,5,High
15482,37669671d35808111ab0d229e546221f,3,2,223.89,3,1,2,6,Medium
15504,377860a7242c2e503c926b76ab6e0a65,112,2,47.8,2,1,1,4,High
15527,378c06babf08c70f32e748ac24ea33e0,104,2,65.2,2,1,1,4,High
15540,3797de5ad80619a55a3c0a8a034f5ae6,98,2,575.9,2,1,3,6,Medium
15546,379a5698aeca26ff55abca9bc7fcaa4f,61,2,155.7,3,1,2,6,Medium
15601,37cc3e75e39bb11d75a1982ac0d07c17,430,2,69.9,1,1,1,3,High
15606,37d0b647301742b1b17d627e4c10aeae,146,2,169.8,2,1,2,5,High
15609,37d2d1ac62901f9a36cff32ca86c9337,96,2,139.8,2,1,2,5,High
15653,37f8e7062a53c1a0fca4f59f4c6b1429,196,2,134.0,2,1,2,5,High
15705,382ad79426068e4ba6ed73491d4441cb,330,2,129.9,1,1,2,4,High
15749,384d6654ad80e9f1426b7a4ef9e40997,41,2,368.68,3,1,3,7,Medium
15785,3871b0ab0166a2f441fa762f5206cacc,232,2,309.79999999999995,1,1,3,5,High
15811,388661387449408a9ab88ea55c9f1a0f,56,2,327.87,3,1,3,7,Medium
15904,38dd3f4e8a4cc5e32dd0a4426a1961fa,243,2,79.8,1,1,1,3,High
15921,38e74ef4e3bcf3019fd22b84649bf90d,294,2,139.0,1,1,2,4,High
15957,39104edef5e46d7b8c61848cc95e6d97,211,3,96.48,1,3,1,5,High
16022,394ac4de8f3acb14253c177f0e15bc58,46,3,299.46000000000004,3,3,3,9,Low
16066,397b44d5bb99eabf54ea9c2b41ebb905,83,2,1060.0,3,1,3,7,Medium
16092,3991c84b618da2e02b44ba48aba925d1,75,2,49.94,3,1,1,5,High
16130,39ae2ab725be4a0db66896735a49dac7,294,2,109.97999999999999,1,1,1,3,High
16162,39ce02a045b8e7b0329984df3109957b,215,2,98.0,1,1,1,3,High
16166,39d28c99c5382bfc238c047203595443,161,2,25.8,2,1,1,4,High
16235,3a131e6c88849b1d0b28020c3809ea29,176,2,154.4,2,1,2,5,High
16259,3a2d236fc85fdf338f179ca0cd725433,273,2,56.05,1,1,1,3,High
16304,3a502a4d1e63887120fdc3b323224d70,173,2,129.51,2,1,2,5,High
16325,3a5b0d10ee72cefb504df217532a4e6a,62,2,166.2,3,1,2,6,Medium
16339,3a649b3c6b379a427fa6f4a5f646a43d,262,2,158.9,1,1,2,4,High
16353,3a73ce6fc3b392e1ca609b5548418c36,97,2,208.97,2,1,2,5,High
16403,3aa71d539bb760f054b280604391602a,149,2,124.99,2,1,1,4,High
16482,3ae522de6b23a3699ef105d4c4b3b82d,209,2,53.989999999999995,1,1,1,3,High
16614,3b6f5d22fb32e6ac2fbbb944b18cf1bb,280,2,201.98000000000002,1,1,2,4,High
16651,3b92b8617254e581d164b5d213d437a2,112,2,145.69,2,1,2,5,High
16683,3bab949ef05da8e9b3cfd541b6af0ffd,323,3,669.9,1,3,3,7,Medium
16728,3be412c1321c061d6f85c5e41530ce2d,39,2,165.7,3,1,2,6,Medium
16752,3bfda42ef722cb59c430e6be0b68628c,282,2,155.99,1,1,2,4,High
16810,3c25f47ab68536a1d3d6b29b9c8b7e63,153,2,95.9,2,1,1,4,High
16836,3c3dbbf3d36a7a4587efada79a3166cd,54,2,187.2,3,1,2,6,Medium
16859,3c5e1130694632f44051b23fd86ad9e2,14,2,528.98,3,1,3,7,Medium
16913,3c884190b71bbb36aab161465ff1d2c7,72,2,93.5,3,1,1,5,High
17000,3cd4207d6ce944798257ac5953640a40,35,2,139.99,3,1,2,6,Medium
17110,3d4cd13fd525234c1c4a2304fbe769e0,139,2,169.8,2,1,2,5,High
17118,3d50a44231c2a153219cef76ee3e445d,67,2,298.58000000000004,3,1,3,7,Medium
17151,3d71bc3ae0c9f857ffe17636e0d59aab,325,2,65.98,1,1,1,3,High
17153,3d740e7cbf7e5b18027f204bd01b0be4,261,2,85.69999999999999,1,1,1,3,High
17155,3d75cbf8643a1c15723adb850fb5f928,58,2,103.49000000000001,3,1,1,5,High
17228,3db6e5afa8e8178a29afc729855315e2,157,3,719.6999999999999,2,3,3,8,Low
17285,3de0c9303f39b7ccfe69ca11aee19cc6,5,3,674.89,3,3,3,9,Low
17314,3df4912077693dc7933267da9542825c,78,2,211.94,3,1,2,6,Medium
17407,3e43e6105506432c953e165fb2acf44c,62,9,1000.85,3,3,3,9,Low
17412,3e47025034c5a31cff56168ac0519f1f,12,2,59.97,3,1,1,5,High
17425,3e5306add1209e5ba184092dd1587282,109,3,160.79,2,3,2,7,Medium
17439,3e5dd5efb71f831fffee3735c9e41e87,76,2,142.8,3,1,2,6,Medium
17450,3e6658866cc636c1762c080ed56f44e6,42,2,185.9,3,1,2,6,Medium
17525,3ea4185126195c34ed9949d8e406d570,244,2,693.0,1,1,3,5,High
17551,3eb7932f075743f0e50b0d9966707e6f,189,2,0.0,2,1,1,4,High
17571,3ec83b54e0afb70def9480cd6b9097f7,62,2,1349.46,3,1,3,7,Medium
17637,3f00548d480f59bdac5e1ad8a68dcfe1,105,2,203.9,2,1,2,5,High
17663,3f1ae9854823f7c0a8027bd994b2ce64,27,2,279.6,3,1,3,7,Medium
17692,3f36fa15a16c4850992aa0f33561906e,333,2,153.95,1,1,2,4,High
17725,3f5534bf8c9378ee05b7dd684cb20e8a,174,2,113.98,2,1,1,4,High
17750,3f6ac9a49767899814866524054ba779,388,2,163.25,1,1,2,4,High
17823,3fc38da1985b9e820504f0ad51abc8d1,114,2,31.89,2,1,1,4,High
17845,3fdc39171d444e1a1cd4da98ac2e4adb,19,2,379.65,3,1,3,7,Medium
17897,4011b7579e894fa929d2de97b4928f41,53,2,778.0,3,1,3,7,Medium
17984,4067ba7df47a2bcb753ae5f7530fc7cc,335,2,149.8,1,1,2,4,High
17993,40730ca1af9742bd0bdbcef270ff4c76,153,2,149.1,2,1,2,5,High
18001,407a6773db6e845737d04a6e27e653b4,225,2,206.0,1,1,2,4,High
18020,408b1dc1bf28c3245e5eca9097e14b9f,68,2,83.58,3,1,1,5,High
18030,409379e6e577c89589dade402e6c2522,60,2,299.70000000000005,3,1,3,7,Medium
18039,409fffcdaf4d0eb689458f1df6b2c240,102,2,370.87,2,1,3,6,Medium
18048,40aa675201863fe2a78cc40c3ab74609,256,2,23.99,1,1,1,3,High
18137,40f4b191d404a10a6039af0b26dd62c7,464,2,105.89,1,1,1,3,High
18202,4127cb95c20254485869d698037a3dfd,325,2,115.69999999999999,1,1,1,3,High
18212,41348c09a551501117e31f8a4149950c,139,2,255.8,2,1,3,6,Medium
18222,413c048b3543f926f2e486c53de5123f,78,2,219.8,3,1,2,6,Medium
18269,417021b1b4553c55daa22f17dbf37cdc,30,2,179.7,3,1,2,6,Medium
18307,418ee6e3b8f19158d67d5039f19783b9,350,2,52.0,1,1,1,3,High
18309,4191bcfd448dc07138d2951ea4d10008,175,2,145.8,2,1,2,5,High
18347,41b3ab6b1f95cbd2afb361e852a56917,229,2,100.0,1,1,1,3,High
18490,42398dee8f2098eec5579129cc1a6f5e,153,2,271.0,2,1,3,6,Medium
18519,425634deb94b1080fc7d283f3a644941,199,2,93.97999999999999,2,1,1,4,High
18536,426a9c4b189f4342ea12e7cc9d48a883,26,2,69.44,3,1,1,5,High
18595,429de3d8004cbe46652a0e069fc545e3,95,2,44.98,2,1,1,4,High
18627,42befda568ea0df110b6cec63c233bea,38,3,210.9,3,3,2,8,Low
18712,4307ca57b237ef2790e2a99ebcf3c7db,84,2,296.78000000000003,3,1,3,7,Medium
18742,43255e3df6cda368809baa2fc72872c8,79,2,92.80000000000001,3,1,1,5,High
18751,432aa6200ee9673be90863a912dc91dc,48,2,93.0,3,1,1,5,High
18787,434825743a3426c100c479f571816a81,286,2,50.8,1,1,1,3,High
18833,43714f2590bcb9f935ae68073d6c34f1,98,2,298.0,2,1,3,6,Medium
18840,4377c22228de511d013c6a7560d58a2d,149,2,210.0,2,1,2,5,High
18871,439624e26bc73309799fd718773bdb8a,147,2,118.88999999999999,2,1,1,4,High
18933,43c73f9043398f0dd2163fc5f825e61a,172,2,209.89000000000001,2,1,2,5,High
18959,43dce1c46f91f3cd233905d0a8b19153,55,2,175.84,3,1,2,6,Medium
18986,43f9d5ace80c6d3c5c09544bc2fa8484,139,2,84.0,2,1,1,4,High
19076,4440347c82849cd13be225a1cafba6ba,52,2,75.8,3,1,1,5,High
19085,444afd392665f1cc1f3b65ec48063735,68,2,143.8,3,1,2,6,Medium
19125,4473c7b8da89833fc08fcd3443faea81,75,2,33.8,3,1,1,5,High
19182,44a22a3351d7f1bb3d337d1be11b41fb,134,2,101.98,2,1,1,4,High
19203,44b6bbfea26596437062a38c8e6bcec1,342,2,207.88,1,1,2,4,High
19215,44bd7571a7dad968306f7776bd5a5745,70,2,192.4,3,1,2,6,Medium
19243,44dbd08cc06662e0ca8ac504aac75f18,8,2,409.70000000000005,3,1,3,7,Medium
19256,44e64b7162915525578f601e73e72b16,7,2,54.25,3,1,1,5,High
19266,44ed2c2de63bfe22f6596547584d7372,226,2,94.0,1,1,1,3,High
19346,453c2895f29b6d9a47f8cb48e00b024b,11,2,136.25,3,1,2,6,Medium
19378,455b49402053f170c64a3ae7fced73d4,72,2,188.9,3,1,2,6,Medium
19379,455c17b35969ca198c17f2fc9e8eba1b,51,3,608.0,3,3,3,9,Low
19456,459759c02362af7a218dd2fe035b3c07,257,2,652.9,1,1,3,5,High
19509,45ca4053806ecd0f595c633184e0ff61,12,2,848.0,3,1,3,7,Medium
19515,45cfc55a4d5073c50be858369454fc0e,9,2,302.9,3,1,3,7,Medium
19526,45df9d71b80f651fcfd26763eebd027a,150,2,169.8,2,1,2,5,High
19633,4644f1b187e390a08b4c66fb16c91364,45,2,900.0,3,1,3,7,Medium
19670,4666e7be827bb14bf746a56f740e62c5,344,2,121.97999999999999,1,1,1,3,High
19696,4681829483318507ed55682649de6571,90,2,659.6,3,1,3,7,Medium
19713,46958f708ade6b6a88b2e5aca1e66de5,243,3,107.69999999999999,1,3,1,5,High
19753,46b061196b47dfe9318d38bab6a40ee7,107,2,179.89000000000001,2,1,2,5,High
19851,4702945c3b363dd3a5d1cbe913cc95d2,201,2,60.699999999999996,2,1,1,4,High
19932,4754e3b66497719a91b36268ed9c5718,143,2,822.25,2,1,3,6,Medium
19936,4757b4d81eaab4d270e585126410dc5c,364,2,69.8,1,1,1,3,High
19947,475cab480951109dec3ad6f770167fa5,273,2,149.29,1,1,2,4,High
19948,475d4eb16efe698064c2966acd62584c,40,2,117.63,3,1,1,5,High
19972,477f7f182e8da105ba6713c0d5a24f15,432,2,239.86,1,1,2,4,High
19994,479085be6190cd4a8e610b4fcce5f29c,283,2,157.4,1,1,2,4,High
20018,47a71b49f98984efd3c62cb213f977e8,176,2,119.8,2,1,1,4,High
20057,47c1a3033b8b77b3ab6e109eb4d5fdf3,96,6,836.6,2,3,3,8,Low
20154,4820f42c8203dcad5d2c17cf363048b0,115,2,288.9,2,1,3,6,Medium
20185,483b26e1bf0f4797e5512d8849d90835,245,2,279.98,1,1,3,5,High
20223,485b849ef839f0f401da8bfdc7ac2781,106,2,126.59,2,1,1,4,High
20228,48625b68a29dcfc3aba4b5147e0625aa,84,2,328.9,3,1,3,7,Medium
20247,487b72af97cd4e1dcdfae25627f3ea8a,143,2,679.8,2,1,3,6,Medium
20264,4897a3c64a635a703a71dd2d9189bffa,213,2,386.81,1,1,3,5,High
20377,48fd7dec70f2b104a1d5e8c5c639102b,240,2,117.72,1,1,1,3,High
20423,49257d143ec6384f53a6648062252966,43,2,144.9,3,1,2,6,Medium
20481,4962136f755981b83b03f476e66eea7d,170,2,145.1,2,1,2,5,High
20546,49afeec74ee36fc6e5582ccd16111a14,164,2,362.9,2,1,3,6,Medium
20561,49bf911a5666e781425b4fe91495454d,147,2,255.0,2,1,3,6,Medium
20579,49cee01774f85ef576192e1038cf9cc6,237,2,177.0,1,1,2,4,High
20581,49d1599dd80dedc213037342bbe43fd7,134,2,80.59,2,1,1,4,High
20587,49d602890c664bcee124fa70e94d9fb1,137,2,46.6,2,1,1,4,High
20604,49e6749fd8bf4a9218457eb19a92e200,146,2,418.89,2,1,3,6,Medium
20688,4a2ef0b951aa7bdda04470d961d5e755,204,2,111.37,2,1,1,4,High
20713,4a433c62dfda8104d295307e855c82a7,46,2,238.43,3,1,2,6,Medium
20760,4a6ccb379c9e5062ad3ce2324222fbf3,33,2,27.3,3,1,1,5,High
20783,4a875173bfb6a79bc80ade998b70132e,84,2,84.9,3,1,1,5,High
20914,4b1141303289a23d05776bd25076c2fd,108,2,179.98,2,1,2,5,High
20956,4b384b778ebc0449d0244902bfce7beb,162,2,137.3,2,1,2,5,High
21052,4b8b7bf8d90bd492c7a61ec3ce264a0a,43,2,177.64999999999998,3,1,2,6,Medium
21067,4b979b432abe14a88cd0cde893952677,208,2,239.6,2,1,2,5,High
21071,4b9c1e46a59a75a9af94bc7e355b97a0,5,2,124.80000000000001,3,1,1,5,High
21091,4badd97df3e4ad6d64508b5c25d4dca9,16,2,297.9,3,1,3,7,Medium
21107,4bbaf6f7a10a7e26a8777aa5cb6d5864,44,3,420.66,3,3,3,9,Low
21108,4bbba2a307995c25e9d635cc1a9700d0,155,2,304.9,2,1,3,6,Medium
21155,4be8154b42b4593fae17f1b2cb375615,90,2,25.8,3,1,1,5,High
21166,4bf3d072dcf303280e82dc697b516c6f,137,2,96.49000000000001,2,1,1,4,High
21196,4c0bac678bfb8ff0becd5b393b45a884,115,2,797.59,2,1,3,6,Medium
21206,4c112bdeac93a04155c340b65b35c232,328,2,50.699999999999996,1,1,1,3,High
21207,4c116f8ddec984371284ab7bc860001a,279,2,39.98,1,1,1,3,High
21256,4c3d123168c78dcca6cde5a7274430a5,322,2,25.0,1,1,1,3,High
21271,4c45ebf94ecf4107850d91bc326851c3,238,2,459.0,1,1,3,5,High
21278,4c4b5dc90eb4e33188153ca3e7999f92,22,2,1159.98,3,1,3,7,Medium
21295,4c5ae17e8984ca0916543b159eac0f2c,253,2,530.0,1,1,3,5,High
21348,4c93744516667ad3b8f1fb645a3116a4,197,2,506.52,2,1,3,6,Medium
21389,4cba4382020c8e217faee72173ecb0fc,79,2,74.69999999999999,3,1,1,5,High
21450,4ced1b9f8668a9792e5484da6d97b229,194,2,31.2,2,1,1,4,High
21499,4d191bb8e1eea602e77b4ab62cf4daac,41,2,66.9,3,1,1,5,High
21505,4d1fe8b6f5e9ee044a14467c8b2832b6,82,2,174.79000000000002,3,1,2,6,Medium
21519,4d2a058cead19bc1e7b3580be5893b2b,98,2,148.9,2,1,2,5,High
21580,4d5cbb095f36a674f6f4a852959ad11d,24,2,59.9,3,1,1,5,High
